Date,Open,High,Low,Close,Volume,Adj Close
2012-09-11,56.82,56.82,56.61,56.66,5700,56.66
2012-09-10,56.87,56.89,56.69,56.88,9600,56.88
2012-09-07,57.45,57.45,56.82,56.83,35400,56.83
2012-09-06,56.92,56.95,56.68,56.77,63800,56.77
2012-09-05,57.43,57.62,57.34,57.37,107800,57.37
2012-09-04,57.54,57.81,57.39,57.48,10263700,57.48
2012-08-31,57.05,57.78,57.03,57.76,59900,57.76
2012-08-30,57.13,57.24,57.05,57.10,40700,57.10
2012-08-29,56.95,56.95,56.69,56.84,89500,56.84
2012-08-28,56.96,57.14,56.88,56.98,63300,56.98
2012-08-27,56.79,56.93,56.72,56.86,63300,56.86
2012-08-24,56.93,56.93,56.56,56.59,60600,56.59
2012-08-23,56.74,56.81,56.63,56.69,110700,56.69
2012-08-22,56.00,56.48,55.94,56.47,75400,56.47
2012-08-21,55.34,55.65,55.17,55.62,75300,55.62
2012-08-20,55.44,55.65,55.44,55.56,63900,55.56
2012-08-17,55.51,55.63,55.46,55.51,86800,55.51
2012-08-16,55.63,55.72,55.15,55.31,116400,55.31
2012-08-15,55.86,55.86,55.54,55.58,82600,55.58
2012-08-14,56.31,56.41,56.16,56.18,135300,56.18
2012-08-13,56.83,56.99,56.75,56.77,98300,56.77
2012-08-10,56.92,56.95,56.78,56.81,108100,56.81
2012-08-09,56.40,56.65,56.24,56.53,107000,56.53
2012-08-08,56.71,56.86,56.45,56.57,69700,56.57
2012-08-07,56.80,56.84,56.62,56.76,123300,56.76
2012-08-06,57.31,57.50,57.25,57.32,152600,57.32
2012-08-03,57.41,57.42,57.02,57.24,140800,57.24
2012-08-02,57.92,58.18,57.81,57.84,330300,57.84
2012-08-01,57.74,58.18,57.42,57.61,17878900,57.61
2012-07-31,57.67,57.95,57.67,57.95,39800,57.95
2012-07-30,57.41,57.80,57.39,57.78,1400,57.78
2012-07-27,57.84,57.84,57.23,57.43,9000,57.43
2012-07-26,58.33,58.38,58.24,58.29,9100,58.29
2012-07-25,58.52,58.60,58.40,58.56,4700,58.56
2012-07-24,58.19,58.58,58.19,58.51,8500,58.51
2012-07-23,58.48,58.50,58.22,58.24,11300,58.24
2012-07-20,58.08,58.16,58.08,58.16,2400,58.16
2012-07-19,57.67,57.70,57.62,57.70,8600,57.70
2012-07-18,57.91,57.98,57.81,57.81,4400,57.81
2012-07-17,57.78,58.01,57.69,57.69,11000,57.69
2012-07-16,58.13,58.25,57.96,57.96,9700,57.96
2012-07-13,57.67,57.83,57.66,57.75,26200,57.75
2012-07-12,57.80,57.94,57.78,57.88,12700,57.88
2012-07-11,57.74,58.13,57.58,57.63,12500,57.63
2012-07-10,57.63,57.78,57.63,57.69,5200,57.69
2012-07-09,57.44,57.69,57.40,57.67,5300,57.67
2012-07-06,57.26,57.44,57.24,57.36,19400,57.36
2012-07-05,56.74,57.00,56.70,56.86,90300,56.86
2012-07-03,56.93,56.94,56.61,56.62,132600,56.62
2012-07-02,56.72,57.35,56.72,56.98,13490500,56.98
2012-06-29,56.41,56.58,56.33,56.47,178700,56.47
2012-06-28,56.98,57.15,56.93,57.01,116400,57.01
2012-06-27,56.62,56.75,56.36,56.70,126200,56.70
2012-06-26,56.44,56.63,56.38,56.49,122000,56.49
2012-06-25,56.58,56.75,56.58,56.75,98500,56.75
2012-06-22,56.34,56.41,56.11,56.16,99400,56.16
2012-06-21,56.41,56.83,56.41,56.62,132200,56.62
2012-06-20,56.26,57.86,56.12,56.36,122700,56.36
2012-06-19,56.80,56.80,56.48,56.65,107600,56.64
2012-06-18,57.09,57.09,56.84,56.98,146800,56.97
2012-06-15,56.90,57.12,56.86,57.06,281600,57.05
2012-06-14,56.73,56.88,56.45,56.59,115400,56.58
2012-06-13,56.51,56.94,56.44,56.85,145700,56.84
2012-06-12,56.62,56.78,56.21,56.33,94900,56.32
2012-06-11,56.40,56.95,56.35,56.89,155300,56.88
2012-06-08,57.00,57.03,56.49,56.63,285300,56.62
2012-06-07,56.08,56.63,56.08,56.45,142300,56.44
2012-06-06,56.77,56.94,56.18,56.20,172800,56.19
2012-06-05,57.20,57.33,56.94,57.03,94700,57.02
2012-06-04,57.49,58.09,57.32,57.42,220600,57.41
2012-06-01,57.72,58.08,57.72,58.06,102400,58.05
2012-05-31,56.85,57.36,56.81,57.14,180900,57.13
2012-05-30,56.31,56.66,56.31,56.65,59400,56.64
2012-05-29,55.73,55.87,55.57,55.58,100500,55.57
2012-05-25,55.59,55.73,55.50,55.73,91400,55.72
2012-05-24,55.43,55.50,55.30,55.36,79200,55.35
2012-05-23,55.64,55.89,55.53,55.56,134000,55.55
2012-05-22,55.09,55.37,55.03,55.32,88900,55.31
2012-05-21,55.53,55.71,55.45,55.48,77000,55.47
2012-05-18,55.60,58.31,55.55,55.78,100100,55.77
2012-05-17,55.26,55.85,55.26,55.85,60500,55.84
2012-05-16,55.02,55.50,55.02,55.49,77500,55.48
2012-05-15,55.26,55.42,55.13,55.42,129000,55.41
2012-05-14,55.33,55.45,55.18,55.37,121700,55.36
2012-05-11,54.86,54.92,54.70,54.92,57300,54.91
2012-05-10,108.82,109.11,108.50,109.03,78200,54.51
2012-05-09,109.74,109.90,109.10,109.34,110800,54.66
2012-05-08,109.05,109.58,109.05,109.13,89600,54.56
2012-05-07,108.70,108.89,108.50,108.68,64000,54.33
2012-05-04,108.25,108.71,108.25,108.69,73800,54.34
2012-05-03,107.46,107.96,107.46,107.78,86000,53.88
2012-05-02,108.00,108.10,107.63,107.95,254000,53.97
2012-05-01,108.05,108.07,107.31,107.58,10119400,53.78
2012-04-30,107.87,108.09,107.81,107.92,2200,53.95
2012-04-27,107.39,107.57,107.39,107.57,1000,53.78
2012-04-26,107.36,107.36,107.36,107.36,200,53.67
2012-04-25,106.63,106.63,106.63,106.63,400,53.31
2012-04-24,107.25,107.25,106.98,107.07,3800,53.53
2012-04-23,106.93,106.93,106.93,106.93,000,53.46
2012-04-20,106.89,106.94,106.85,106.93,3800,53.46
2012-04-19,107.10,107.10,107.04,107.04,400,53.51
2012-04-18,106.69,106.85,106.69,106.82,4600,53.40
2012-04-17,106.59,106.59,106.22,106.43,5800,53.21
2012-04-16,107.12,107.12,106.74,106.77,2200,53.38
2012-04-13,106.45,106.74,106.33,106.69,173800,53.34
2012-04-12,105.79,105.94,105.37,105.42,8200,52.70
2012-04-11,105.87,106.05,105.81,106.05,2800,53.02
2012-04-10,105.97,106.63,105.97,106.59,2000,53.29
2012-04-09,105.83,105.91,105.68,105.76,8200,52.87
2012-04-05,103.39,103.75,103.23,103.55,146600,51.77
2012-04-04,102.57,102.75,102.52,102.58,14200,51.28
2012-04-03,103.70,103.79,101.66,101.66,2000,50.82
2012-04-02,103.23,103.24,103.23,103.24,400,51.61
2012-03-30,103.75,103.87,102.67,102.77,44600,51.38
2012-03-29,103.47,103.56,103.47,103.52,16600,51.75
2012-03-28,103.34,103.34,102.84,102.84,5800,51.41
2012-03-27,102.93,103.13,102.93,103.11,2800,51.55
2012-03-26,102.14,102.26,102.14,102.23,2200,51.11
2012-03-23,102.06,102.20,102.06,102.17,600,51.08
2012-03-22,101.84,101.86,101.38,101.54,9800,50.76
2012-03-21,100.69,101.35,100.69,101.33,44000,50.66
2012-03-20,100.58,100.58,100.17,100.29,4800,50.14
2012-03-19,100.95,101.09,99.87,100.23,11800,50.11
2012-03-16,100.62,101.36,100.46,101.29,26000,50.64
2012-03-15,101.80,101.80,101.48,101.60,4800,50.79
2012-03-14,102.51,102.51,101.51,101.61,6000,50.80
2012-03-13,104.80,104.92,103.96,103.96,6200,51.97
2012-03-12,105.86,105.86,105.52,105.52,1200,52.75
2012-03-09,105.40,105.49,105.23,105.49,2400,52.74
2012-03-08,105.78,105.78,105.69,105.74,2400,52.86
2012-03-07,106.65,106.65,106.39,106.46,4000,53.22
2012-03-06,106.73,106.90,106.62,106.62,4600,53.30
2012-03-05,106.10,106.10,105.90,105.90,2400,52.94
2012-03-02,106.06,106.19,106.06,106.16,3400,53.07
2012-03-01,105.16,105.38,105.04,105.35,3200,52.67
2012-02-29,106.92,106.92,106.07,106.26,5000,53.12
2012-02-28,107.20,107.29,107.00,107.00,1800,53.49
2012-02-27,107.00,107.02,106.90,106.90,6600,53.44
2012-02-24,105.90,105.90,105.90,105.90,000,52.94
2012-02-23,105.41,106.19,105.41,105.90,4600,52.94
2012-02-22,105.21,105.84,105.19,105.84,3200,52.91
2012-02-21,105.12,105.19,104.79,104.93,3200,52.46
2012-02-17,105.62,105.64,105.61,105.61,600,52.80
2012-02-16,106.42,106.49,105.77,105.86,10200,52.92
2012-02-15,107.23,107.26,106.81,106.81,3400,53.40
2012-02-14,107.01,107.09,106.66,106.66,29000,53.32
2012-02-13,105.96,106.62,105.96,106.42,4800,53.20
2012-02-10,106.60,106.60,106.43,106.43,1400,53.21
2012-02-09,105.35,105.45,104.83,105.45,14400,52.72
2012-02-08,105.81,105.83,105.68,105.74,2600,52.86
2012-02-07,106.25,106.25,105.58,105.67,3800,52.83
2012-02-06,106.75,106.99,106.75,106.96,4000,53.47
2012-02-03,106.47,106.80,106.13,106.45,40600,53.22
2012-02-02,107.78,108.10,107.65,108.07,221600,54.03
2012-02-01,108.16,108.16,107.42,107.72,2952000,53.85
2012-01-31,107.72,108.54,107.72,108.47,6800,54.23
2012-01-30,107.86,108.18,107.86,107.88,14200,53.93
2012-01-27,106.58,107.06,106.44,106.94,48000,53.46
2012-01-26,106.24,106.69,106.11,106.32,44200,53.15
2012-01-25,104.15,106.32,104.15,105.33,59400,52.66
2012-01-24,103.97,104.23,103.93,104.23,44000,52.11
2012-01-23,104.04,104.32,103.71,104.06,59400,52.02
2012-01-20,104.88,105.08,104.52,104.65,45800,52.32
2012-01-19,105.98,105.98,105.17,105.39,40000,52.69
2012-01-18,107.56,107.56,106.59,106.65,46400,53.32
2012-01-17,107.28,107.40,107.26,107.33,18600,53.66
2012-01-13,107.25,107.57,107.13,107.17,44800,53.58
2012-01-12,106.24,106.41,105.94,106.18,41400,53.08
2012-01-11,106.04,106.72,105.98,106.51,55000,53.25
2012-01-10,105.17,105.63,105.08,105.33,41600,52.66
2012-01-09,105.79,106.22,105.71,105.74,23000,52.86
2012-01-06,105.52,105.85,105.46,105.65,55800,52.82
2012-01-05,105.69,105.71,104.73,104.75,45000,52.37
2012-01-04,105.56,105.56,104.64,104.72,36200,52.35
2012-01-03,105.53,106.01,105.06,105.30,1157800,52.64
2011-12-30,106.43,106.80,106.29,106.40,82800,53.19
2011-12-29,105.70,106.36,105.59,106.22,40400,53.10
2011-12-28,104.89,106.13,104.89,105.88,49000,52.93
2011-12-27,104.48,104.77,104.36,104.75,39800,52.37
2011-12-23,104.79,105.64,104.16,104.35,97800,52.17
2011-12-22,105.68,105.99,105.26,105.43,70400,52.71
2011-12-21,105.86,105.86,105.16,105.17,46800,52.58
2011-12-20,106.72,106.72,105.82,105.90,50400,52.94
